image,L_m,L_s,A_m,A_s,B_m,B_s,height,width,ver_symm,hor_symm,cent_symm,feat_num
ISIC_0000077_downsampled,128.90842647080086,8.102716412370606,150.56431184303747,3.8696756135953585,133.64991397134307,2.7100703678765643,494,592,0.6367132715469254,0.7360872142619609,0.6367132715469254,268
ISIC_0000078_downsampled,109.57201264628473,17.720076887716917,142.7976097859732,3.729703430660891,152.03972654892158,4.050528066655726,322,316,0.6940890205750418,0.6708158839984771,0.6940890205750418,93
ISIC_0000139_downsampled,98.6975851143628,21.49450042544935,153.28586782503552,3.495256900877093,137.00003918451426,4.200896962854364,608,494,0.7373965808712397,0.8873389236573707,0.7373965808712397,182
ISIC_0000140_downsampled,90.53237106662942,33.19063374456321,143.15814139837948,7.051631111886746,131.77385326662838,9.24106753121424,587,562,0.8160482047118736,0.648728721974158,0.8160482047118736,665
ISIC_0000141_downsampled,73.39198777177013,25.23381404851212,146.31918873907787,7.224618287528216,143.70539319690644,7.259537838432606,300,491,0.7081878949649807,0.7213172723746949,0.7081878949649807,131
ISIC_0000142_downsampled,91.75871949367317,32.31275720968647,142.1820654761095,9.909550323907922,139.29917168777118,8.852410681985985,537,554,0.9338075613526833,0.935661856380543,0.9338075613526833,449
ISIC_0000143_downsampled,104.45287029808208,27.27722655214498,147.14585234167035,3.553949502762672,155.23070555811614,3.9331494889549163,375,471,0.779801153198574,0.7752767770639527,0.779801153198574,237
ISIC_0000145_downsampled,99.17264103714956,21.400374829634234,165.37370960502693,2.1874943172460384,165.76836762878057,3.0794304361783613,593,501,0.9389932329788703,0.9363433917967131,0.9389932329788703,198
ISIC_0000146_downsampled,105.58731803602271,26.6667197822706,164.78716588535244,11.073648088295586,141.1986183074266,10.82448152014273,573,620,0.8630150505798174,0.8586150176823752,0.8630150505798174,567
ISIC_0000147_downsampled,107.57677456100552,30.27775663124557,152.28709612024443,7.311174308008118,135.22824817306858,7.501956226870182,682,642,0.7397889737327322,0.582252941914682,0.7397889737327322,915
ISIC_0000148_downsampled,62.611470499816285,23.00176888841725,142.5053388707648,7.294375740996114,132.65303463863805,4.324896466089112,483,492,0.6413882177413069,0.6814380991615913,0.6413882177413069,149
ISIC_0000149_downsampled,131.44211886947227,18.204712594817728,154.6199358671605,3.656435937128547,161.84669765591988,5.161287263946027,579,678,0.8191453926272092,0.616082925252927,0.8191453926272092,372
ISIC_0000150_downsampled,98.2774102466172,24.567225776391112,155.54823903317327,6.489210359038521,158.40279217590572,7.294816485812088,514,642,0.7606530990833698,0.45663738542121346,0.7606530990833698,296
ISIC_0000151_downsampled,72.55716897471999,27.179912156027772,149.59585601109546,3.162621542756273,153.8532792569399,6.990003031976356,229,362,0.7526845567066636,0.6262634753188896,0.7526845567066636,90
ISIC_0000152_downsampled,100.54646719095601,32.807298219601414,141.85108749078398,2.9088637174637646,151.99739493733102,5.999262107209655,510,447,0.9107151634308184,0.9077537478495945,0.9107151634308184,162
ISIC_0000153_downsampled,140.91996451168546,20.147949677801765,141.14471294156104,3.122233510550501,158.35226821694567,5.689447341473961,547,582,0.8426326725969508,0.8322196539889333,0.8426326725969508,180
ISIC_0000154_downsampled,104.94746970660665,18.142907419017305,160.78576903631946,2.5113921239159276,158.95095976645956,2.581355721620442,323,373,0.5642317791150905,0.5634652706427256,0.5642317791150905,130
ISIC_0000155_downsampled,76.65395007547231,34.811087902012375,142.21684993097372,12.54993495795119,141.86954840165234,11.011061589529303,686,714,0.6074097152464802,0.6156284076686309,0.6074097152464802,769
ISIC_0000156_downsampled,85.50437343761601,25.774966427137503,152.82183501225157,5.129591300163776,154.82838898101625,6.723275866666454,640,525,0.657446229240403,0.6476202262208252,0.657446229240403,437
ISIC_0000157,95.07629124119815,28.92462130510578,150.6582887661835,5.078802439700017,145.48674564520448,8.552222586838568,440,465,0.8235430341363863,0.8593945622046446,0.8235430341363863,188
ISIC_0000159,55.400363312311484,30.46914743764266,159.06169454346036,1.9192263722041916,139.82063339731286,6.3006503669954546,537,501,0.739628461749383,0.819447491088566,0.739628461749383,250
ISIC_0000160,125.8961508787776,24.60475532610267,162.81150031989762,4.309732345123086,164.65512212562567,6.257576418342302,434,640,0.7230062850476083,0.7232226863874148,0.7230062850476083,234
ISIC_0000161,65.65760480689845,37.247498162326174,153.06783781304466,9.160509675935806,148.23672140170626,13.435724396817264,575,647,0.7281029263370333,0.7127694706907624,0.7281029263370333,428
ISIC_0000162,153.2655532771254,31.892964003558983,155.232524016997,5.580577281153845,147.57620600997026,8.995359806666974,528,616,0.8450124067252078,0.8702386668042699,0.8450124067252078,218
ISIC_0000163,69.99922333113277,35.598399243185106,159.6004427012543,4.621411113513028,148.95720554541572,10.124979827944884,398,550,0.5466777989204302,0.5447361267523592,0.5466777989204302,166
ISIC_0000164,86.30471226383283,28.82193100824672,155.65304982031546,3.890835716798205,144.17460715077127,8.24648615911563,410,472,0.7009913963369399,0.5361440559575309,0.7009913963369399,210
ISIC_0000165,53.9104517271922,31.329364434679707,160.23135518157662,9.919445702006447,150.06083259521702,11.104011915414848,295,359,0.649140832595217,0.7006200177147919,0.649140832595217,115
ISIC_0000166,94.86150394893558,29.33920236384768,158.4593138218527,3.4151439733997218,148.0432012396073,7.591794278930571,361,481,0.5041917691000127,0.6743371223071497,0.5041917691000127,189
ISIC_0000167,115.99773531303602,28.169655947576135,159.74713228987994,3.9795056598547176,162.85906678816465,10.11932638973307,455,383,0.6610741852487135,0.7139392152658662,0.6610741852487135,256
ISIC_0000169,89.88429817815376,20.050070708337977,163.2527778514413,4.350103541292289,148.25930149301226,5.780839996147522,380,427,0.6733936195603172,0.6301148266991965,0.6733936195603172,140
ISIC_0000170,107.3209093312186,32.21277404298259,168.35004898073424,3.196954401312513,159.0147564180311,4.8744958320525384,292,477,0.4626269222994511,0.39921630825208754,0.4626269222994511,171
ISIC_0000171,124.0021989137366,29.544375040516623,164.198355212525,3.761720378560301,158.15389757459815,5.334354290874538,578,612,0.8887217714449062,0.849695450447479,0.8887217714449062,302
ISIC_0000172,78.887719030266,26.590274105144466,161.20010583280597,5.9483986990878375,154.93047766600475,8.71033744680737,554,515,0.7372618761865276,0.7408078207170445,0.7372618761865276,268
ISIC_0000173,72.95330178257886,35.47872818309133,149.5823090966174,5.659356477279616,140.28844521447922,8.670296796277489,363,513,0.6037163222828172,0.6657751834323655,0.6037163222828172,225
ISIC_0000174,106.04147515222942,29.340824963365645,152.24043409939108,2.0022108503512506,137.48200746415245,5.787012292331571,404,539,0.5294244745629543,0.6447358082891377,0.5294244745629543,251
ISIC_0000175,122.4023894255211,37.39861787007125,152.83617691916623,4.697973562345259,155.17095068632435,4.08161875404735,436,380,0.8473004575495678,0.8246670055922725,0.8473004575495678,186
ISIC_0000176_downsampled,110.19492875525006,20.30202987641518,156.78964138100065,2.5937443620342,154.07941088000356,3.263261901066409,355,430,0.7559073539733292,0.752598567306514,0.7559073539733292,150
ISIC_0000276,99.73318435314212,35.74779335495897,138.7724097874079,6.645125936025838,139.48752947198992,9.43584809819886,565,566,0.7263571882121885,0.8175468475430574,0.7263571882121885,307
ISIC_0000277,119.72914611421682,23.543224396848295,141.19522772114436,2.5320179175801165,135.6643921955497,3.7122402387411113,524,508,0.6853419927655376,0.6854516058314151,0.6853419927655376,344
ISIC_0000278,161.40456016156003,9.453701008375907,158.96240255369048,3.0939172976106923,172.11186293457254,4.630419431863257,581,883,0.7326355562311351,0.6367635881956961,0.7326355562311351,511
ISIC_0000279,131.9462335745448,19.28795484884924,168.60257909036287,3.2076280932767256,170.63103137490532,3.749013574490332,678,836,0.7247119830716581,0.6870803835000915,0.7247119830716581,403
ISIC_0000281,78.99920035748724,40.21285588144447,139.9079423316635,9.15045917294172,130.93072273571815,8.49659293260597,686,864,0.47441379148145535,0.5403607798866389,0.47441379148145535,523
ISIC_0000282,133.11940670572105,18.065142337318544,134.90569874767937,2.0559449421776774,138.76796315855074,3.791887340692223,563,537,0.6763449818613592,0.8105578042076399,0.6763449818613592,209
ISIC_0000283,55.71985406009937,32.654789595685074,135.48512183048237,7.841200501854648,130.01841360639006,10.569352374931043,686,850,0.6039393994951995,0.6668011171613833,0.6039393994951995,320
ISIC_0000285,131.44725531819475,18.203009450938765,157.49819861569972,4.210989359927684,165.3130447131987,4.877046826117495,675,846,0.634558174995889,0.7666646734336926,0.634558174995889,380
ISIC_0000287,115.2859085693939,17.705070609299867,140.4769494777655,2.2796534639513566,132.19953711030226,4.375917531278967,456,726,0.8796783510049059,0.8301451970248457,0.8796783510049059,196
ISIC_0000288,140.93111438097188,25.037875324330255,160.009946171469,4.137859515206839,162.76896570992196,8.011844975128323,686,805,0.5433366238894373,0.6052859989942074,0.5433366238894373,819
ISIC_0000289,101.70386264321766,32.65221122081619,162.11819638682604,5.193362689577737,165.17496303394267,8.225232992437881,663,722,0.7644745863518838,0.7426253748234303,0.7644745863518838,628
ISIC_0000290,94.70785628300544,34.586801107921524,132.31426889382902,4.258727110678459,134.8690326605569,7.820394241790991,653,661,0.593777184180235,0.5222350119061218,0.593777184180235,467
ISIC_0000292,142.17200259585744,17.575906406908427,161.10247778198402,3.387552807494094,167.65133939033404,3.408359819891803,626,745,0.6132172408198583,0.6236322174751681,0.6132172408198583,611
ISIC_0000293,124.03287175304996,24.314043851124172,159.1065611258665,3.6780979278341626,159.70455096485526,7.097136887157144,686,899,0.5985353596579199,0.5535023529022801,0.5985353596579199,473
ISIC_0000294,146.8231081720701,13.276375759419667,164.76315332463878,4.468875560052457,161.96621048724592,5.191357391239189,594,893,0.8244668353361415,0.7223151077225876,0.8244668353361415,337
ISIC_0000295,95.24043433525252,16.240936530615084,146.15710939381336,3.8042168302488726,142.04499660675583,8.309270398841075,494,583,0.9335230631143414,0.9055977582696644,0.9335230631143414,334
ISIC_0000297,76.60448309361894,27.074486927291968,151.1609364263204,6.779714351467745,151.18107717460845,9.149787054241639,236,243,0.9278487311328578,0.9280619861147312,0.9278487311328578,80
ISIC_0000298,74.0767379806547,17.327648055051995,141.51636727497976,3.0724803816260216,139.3774479439653,4.328395178104019,232,278,0.8622004097774812,0.856196693191023,0.8622004097774812,119
ISIC_0000299,83.42268055011222,20.313565807720543,143.25572736665833,4.737671655894128,136.85132896283892,6.057118718879997,485,630,0.7907239819004525,0.8820500944169309,0.7907239819004525,412
ISIC_0000300,117.5688423195178,24.655826970311402,158.690415612525,4.4581035128206095,165.05114348988383,8.752677979657157,494,456,0.7921507356893549,0.8197578997914412,0.7921507356893549,223
ISIC_0000301,85.20346026998517,15.325372315733604,150.58965123576303,4.322572636828801,146.1973448786936,5.511576824941729,494,668,0.9789432924305342,0.8984551293178268,0.9789432924305342,129
ISIC_0000302,101.74998386384061,22.077780541083484,146.3131457566866,5.426861646758757,143.04796659566756,9.651006254059448,494,611,0.7183818162861015,0.8020862812855306,0.7183818162861015,189
ISIC_0000303,78.92696042667741,15.633926274450513,145.7695602405092,3.661519724832196,145.80839140607313,7.147149658878318,494,539,0.7898311907217792,0.7367292258924752,0.7898311907217792,253
ISIC_0000306,80.16203240648129,15.9427362602377,149.8946152866937,3.9362758877188044,148.80092382112787,5.404417381885525,294,304,0.8302751459382786,0.8123806579497718,0.8302751459382786,127
ISIC_0000307,95.00520791399528,21.00545354707212,153.8989732485264,4.935165688237142,150.4150864242522,8.676562499076569,494,627,0.7950692199146563,0.7845262662773796,0.7950692199146563,261
ISIC_0000310,86.91289500470081,17.97134234308369,144.56757134754199,3.486304051550966,141.22277216183247,6.458652295399857,494,647,0.8750514759015081,0.874538659373276,0.8750514759015081,541
ISIC_0000311,140.7198365484579,16.342493844803194,160.13504967078666,2.922307186903683,169.71546869585308,5.997539622497026,494,685,0.37396037888414,0.6971092757306226,0.37396037888414,351
ISIC_0000313,145.90374196986295,17.666196033168244,161.31802303206135,2.281456268780678,172.89047929186773,3.843971021038096,279,372,0.8953639835400693,0.9087598803990645,0.8953639835400693,145
ISIC_0000314,100.46639312881801,21.848994731938244,149.1668775071991,6.514266297029143,147.23887677480568,12.521914395181536,375,449,0.9466185062503121,0.9343842069344341,0.9466185062503121,134
ISIC_0000390_downsampled,87.73813593991993,36.625068034949386,143.9843590193156,4.989779092374993,138.57288653166185,6.625471666752634,448,734,0.6055200023377458,0.5542941468688817,0.6055200023377458,400
ISIC_0000393_downsampled,132.05942327921068,13.685316617849358,144.22295482725997,2.254941982881938,146.9225828441138,4.858893732131965,597,660,0.7524225916588803,0.5831731984086408,0.7524225916588803,372
ISIC_0000395_downsampled,138.52477867053528,14.26863953256685,142.51289848603207,5.35693578973195,134.82668414983445,8.216249184690566,686,942,0.17565003905814083,0.27491351411672804,0.17565003905814083,703
ISIC_0000410_downsampled,144.943950331002,16.674164429836306,134.47668025582527,4.4308997313412295,139.55404869656283,11.792366171490867,779,681,0.27783221752627446,0.18235404121629203,0.27783221752627446,369
ISIC_0000412_downsampled,152.47747034248098,13.438034701726888,141.57817810015882,3.7496640034383835,145.4551858230564,10.841750835780289,735,747,0.3047674121378975,0.3300019694855452,0.3047674121378975,724
ISIC_0000413_downsampled,152.91431403070652,11.98677879467119,139.6810811113475,2.776521899693561,148.86433474808783,8.293211052182574,574,890,0.3622518113710427,0.3113318476544565,0.3622518113710427,434
ISIC_0000415_downsampled,150.16508342602893,20.362814261223576,137.93791991101224,4.384605655267763,151.02742491657398,6.854766116213372,647,942,0.30406006674082314,0.2921690767519466,0.30406006674082314,916
ISIC_0000420_downsampled,120.64431657076142,24.115510276405946,142.68101075806857,4.697284074893811,164.3485471246292,3.918962563429219,322,645,0.7416276493084099,0.5959827013116981,0.7416276493084099,267
ISIC_0000434_downsampled,144.67873833820516,18.356446316709278,155.25204354903642,4.8145405585258585,157.45737865607114,4.85358605179959,427,552,0.5281895993418635,0.6145875269118342,0.5281895993418635,164
ISIC_0000444_downsampled,146.76393290075953,14.175473838736814,145.2439577989035,3.6998505209804335,147.46797822041145,10.578169589029006,686,720,0.4898521201146824,0.16192595945877974,0.4898521201146824,372
ISIC_0000445_downsampled,124.39241375364725,18.88064792610776,147.8905543795412,3.4477702390583906,160.67521025230278,3.3347638075422315,285,311,0.6893033545015924,0.7517973949692012,0.6893033545015924,111
ISIC_0000463_downsampled,104.0493147375825,26.068991440663083,153.0541886620864,3.4522406254469113,147.59214630299326,3.5005895597354795,448,435,0.865015026749746,0.864084291895502,0.865015026749746,185
ISIC_0000466,118.81059556369507,19.21603601487781,150.38179693241926,5.211369745628403,162.64515584900658,2.881133870893174,627,487,0.5031868621757413,0.5765750569297685,0.5031868621757413,219
ISIC_0000469,114.63834421102241,16.26587354737354,148.1031119235658,3.89125677906992,153.38262806872225,3.0263280364484104,515,431,0.7040816326530612,0.6988689107553449,0.7040816326530612,184
ISIC_0000482,77.93447660085167,23.464406257599276,144.38553467758842,3.866664929865053,143.12411344953983,6.578460574355805,316,600,0.8548334622642192,0.8493243780590961,0.8548334622642192,111
ISIC_0000484,122.72994968925717,17.762878476146447,150.054284868727,5.014844147973258,158.19237517439646,2.7939755179937267,360,659,0.5510083287532237,0.39426288420073563,0.5510083287532237,309
ISIC_0000487,156.8593923970097,13.662098858038775,143.56985554607633,3.2977756051612443,154.50394030973004,5.3378547276480255,509,580,0.5346674956981939,0.7181051809650505,0.5346674956981939,361
ISIC_0000511,122.80037271095647,15.734306581454362,159.8479690003507,3.5508029880207608,149.17880842519307,4.847327718276546,662,756,0.6918670618411371,0.6917707896383604,0.6918670618411371,302
ISIC_0000513,142.70249761091043,14.999204223031185,149.24306354168354,4.853228916569451,160.68245355447934,4.439251274372991,399,463,0.8414697354994412,0.887453635465427,0.8414697354994412,158
ISIC_0000516,147.68785390641324,28.498054595629206,148.44913176658866,3.2806018478250674,156.10875980489593,5.3688703759968845,577,670,0.6404896968955622,0.507596723801369,0.6404896968955622,283
ISIC_0000517,90.94528721891295,20.07123845515522,145.29553558546488,1.7722521526341475,143.5846713523095,3.529497628091416,339,511,0.7674629511305315,0.8262464703093761,0.7674629511305315,217
ISIC_0000518,57.383214607587746,22.958004088123033,146.57261200755565,5.115834597854645,144.28702823491648,6.451574124478597,428,368,0.8272200891369029,0.7772688551710515,0.8272200891369029,143
ISIC_0000519_downsampled,121.88347541353808,16.540687322821892,147.15391520352284,3.8158544614197805,153.54711793597923,2.8643894245171975,686,559,0.6842883757692091,0.6309320837802743,0.6842883757692091,403
ISIC_0000520_downsampled,148.7376221616592,16.707070975854815,154.3685867191057,3.1798412617970713,141.297503645878,6.063035308935532,628,781,0.3934908704575,0.29484429956249464,0.3934908704575,571
ISIC_0000521_downsampled,117.73187741440235,16.90693902244279,151.29987226782114,2.9121221109089235,149.0234859385829,3.920020251625711,532,939,0.7391062476885448,0.920560529824376,0.7391062476885448,310
ISIC_0000522,137.1292717706643,20.960200694900152,146.8985592761961,4.481693623820649,156.34947796299028,4.879247713501847,550,445,0.20891314680959172,0.4301191588402091,0.20891314680959172,255
ISIC_0000531,140.56662454199352,14.392635309403964,145.44776937933665,3.3712001651567753,160.3410826835801,3.5619579491248436,537,437,0.8035718543599036,0.7208008456726833,0.8035718543599036,182
ISIC_0000533,106.39867527118837,25.727893228945035,154.56775250109447,3.289320857793497,163.98484750214843,6.132176788993313,560,468,0.5559807371134856,0.6728065766218605,0.5559807371134856,261
ISIC_0000547,153.66279737791854,14.3691291644144,143.65985858437062,3.3890400944683026,154.20013257715254,3.8731297749515607,479,660,0.5716063931649112,0.4672460779259041,0.5716063931649112,481
ISIC_0000548,141.9947164252394,13.300766037737596,141.49372943776086,3.291844629240816,146.23934200834768,3.6396512324911803,427,491,0.6118242082003438,0.6652295605205009,0.6118242082003438,167
ISIC_0000549,124.5778660162995,20.20782702400139,151.688979366967,3.3309778422110634,150.24988746229147,4.742233232410567,629,572,0.6103507817171575,0.6301574184185597,0.6103507817171575,340
ISIC_0000550,101.4495016091543,25.357986439872803,155.0936047291257,4.504819195694776,156.2026808063651,4.104894991585966,448,635,0.7990792061505453,0.800476041480422,0.7990792061505453,259
ISIC_0000551,139.95831029698633,10.534348638982562,146.93409344585504,2.8729800918639357,149.27375003911834,3.3691256015115885,522,641,0.7166998737782043,0.7554165840835358,0.7166998737782043,246
ISIC_0000552,77.31864448376972,20.296801817723733,158.55905033778112,4.245914328865266,155.33665086479715,6.896451732542851,478,471,0.8691501866515107,0.8440071302168775,0.8691501866515107,163
ISIC_0000554,161.1073881421736,18.205858245294515,149.75300148700177,2.6370548868145565,144.24658770706645,4.2133829678415236,564,516,0.7442646284520716,0.7951582760037262,0.7442646284520716,205
ISIC_0000555,148.0154556108995,11.548464090711555,144.5143987275543,2.2805077545009618,146.7622535682893,3.3311511158137557,414,375,0.7272194550249048,0.7320120547486502,0.7272194550249048,121
ISIC_0001100_downsampled,62.75723245840725,25.466073584983956,144.06809895651443,4.8222443720497985,138.67239861986116,6.7481935177734265,294,420,0.668221883861595,0.6736418623493092,0.668221883861595,128
ISIC_0001102_downsampled,89.25881337986746,25.262408308768332,150.54755369070494,7.260402597216319,142.59077095015883,8.869194999959914,623,779,0.8540612786426676,0.8680868724102323,0.8540612786426676,387
ISIC_0001103_downsampled,84.90595957851097,20.902176570518535,135.53508377958198,3.462274149225054,130.7690620141648,8.090054535140169,332,304,0.6024874762480567,0.6244256348246675,0.6024874762480567,112
ISIC_0001105_downsampled,106.58736665429369,15.068742091249517,147.6471281248487,3.3357234484801968,157.04341300453495,3.2976129350606347,250,364,0.9198715362393687,0.8674208802027016,0.9198715362393687,82
ISIC_0001106_downsampled,105.91343018084791,17.091106820781224,140.9179993372979,2.8002584446370142,147.7935159833278,2.79858513870518,337,377,0.38720984984566015,0.7443539526691199,0.38720984984566015,160
ISIC_0001118_downsampled,99.46995945026222,22.667979059839947,144.07538590882314,8.074202243775337,144.96565568754397,15.310242790489147,439,858,0.6219837915434637,0.5643219500477561,0.6219837915434637,419
ISIC_0001119_downsampled,62.10026104611815,24.308875563744138,150.8209739276161,2.555835029758269,148.38853975313418,3.5958255181330383,263,160,0.8256147474942795,0.7993167681846015,0.8256147474942795,55
ISIC_0001126_downsampled,134.29986458027608,13.095186548049789,145.47805737059178,6.462455877372701,154.40813857093573,4.1297458380333625,686,942,0.5077776233066098,0.3531004937928336,0.5077776233066098,384
ISIC_0001128_downsampled,90.00669316793984,21.304875914105963,146.54730716731723,3.9338878254822576,147.8279772025192,4.095038184097902,420,494,0.46813860485164877,0.6840681050791446,0.46813860485164877,135
ISIC_0001131_downsampled,90.53386179647724,40.15458239666097,145.6666369220244,8.861022255490477,141.54848624558167,10.399057164188127,686,763,0.4415393843850543,0.32154949756341805,0.4415393843850543,412
ISIC_0001133_downsampled,26.433332299324793,27.318398720374226,137.6789817083889,10.988163477027927,135.92712307803663,9.404657606482063,686,774,0.7892276990207939,0.5390803528037141,0.7892276990207939,183
ISIC_0001134_downsampled,112.84134211481616,27.98629101326303,136.3582844992999,9.129288773042193,139.6673650365607,10.562533388890495,511,682,0.15659389099206555,0.12083182077477571,0.15659389099206555,226
ISIC_0001140_downsampled,59.42573623800543,28.913357531574416,133.3321814027202,1.8968818105991698,122.91230645871684,7.397074069989346,662,565,0.8626153342292794,0.859020256662187,0.8626153342292794,234
ISIC_0001142_downsampled,128.93895699093719,14.240590920222482,154.4936350777935,7.086208434306083,157.59813898056473,5.020911527166751,633,638,0.47254308764209757,0.5223950966525224,0.47254308764209757,359
ISIC_0001148_downsampled,127.17598691291057,19.192218104256064,147.20297903482714,3.1220136885329755,162.45602479659047,5.8522980196055965,583,559,0.6029704248999096,0.5680743897714065,0.6029704248999096,412
ISIC_0001152_downsampled,90.21246712551061,24.356961007184946,142.42669377451986,5.32768772647698,145.7917669222017,8.871621820972095,421,868,0.5244312635616983,0.5358277532190575,0.5244312635616983,458
ISIC_0009868,114.03431454535318,23.668244765985015,148.27202151976363,4.381564724909367,157.28885822601328,5.288879079715428,357,356,0.7692757986285332,0.7117132184869265,0.7692757986285332,183
ISIC_0009882,102.14236223270237,28.53825727291821,144.65398281542736,2.071127367923207,149.84580722268882,3.0695233615042126,472,473,0.6560178306092125,0.6927530848246011,0.6560178306092125,365
ISIC_0009897,122.27008426926986,20.129929383411792,156.84282143926652,7.226106032460757,167.24351328129592,3.7637851822707455,686,858,0.8530479391671588,0.7615803776584282,0.8530479391671588,387
ISIC_0009898,147.499642063688,25.787693228823876,146.67461120710936,4.179097720117815,156.74168106640337,3.631105236860497,415,391,0.7238583065909652,0.6583683041224389,0.7238583065909652,175
ISIC_0009905,117.89772727272727,32.81631381180236,157.29319413171967,4.709570425816214,154.98573388685617,5.339849457437026,411,508,0.6262137630171686,0.7677666760484098,0.6262137630171686,404
ISIC_0009910,138.27882789573624,29.616534185660342,145.87451809655332,5.683135031285438,158.60999625985386,4.921147188248778,358,845,0.7701248633408136,0.6297255308130503,0.7701248633408136,426
ISIC_0009918,98.92745132257984,24.661421137098174,132.90374211562914,2.973263316110672,127.53767224523376,4.986862996288121,672,749,0.7350673310135801,0.6976497362675718,0.7350673310135801,517
ISIC_0009927,161.82572862920094,17.716104032255764,142.64332729047553,4.2313687728268174,149.44304838934596,6.138676432444143,374,378,0.7164691116999024,0.560005578022591,0.7164691116999024,223
ISIC_0009934,166.083636352478,17.585355824022162,152.91787337328583,4.443874079787741,153.4242452138318,5.325417764112812,686,869,0.6708705778383305,0.5802410037835201,0.6708705778383305,485
ISIC_0009950,109.21822268844598,18.650834369448976,155.11011539037915,3.8930662613159734,156.0386632698936,2.716709819768167,311,459,0.9476497327538838,0.9340626404915331,0.9476497327538838,162
ISIC_0009955,176.23602230988982,29.309176370551704,137.9076769600508,5.373768479399282,153.4408697229402,8.780771195037794,297,368,0.6978415635060989,0.5343490681539926,0.6978415635060989,152
ISIC_0009960,116.01303350674051,32.11562601289242,154.19438384516417,5.8392514245005955,159.3245510991777,2.970053914719545,194,146,0.8227331207697041,0.7644459361190357,0.8227331207697041,37
ISIC_0009971,151.89173210161664,28.46483038866118,135.13297921478062,5.118819837465818,149.08965357967668,9.984368805000452,241,357,0.28600461893764434,0.3976443418013857,0.28600461893764434,95
ISIC_0009992,108.00423946014726,23.393181179219106,142.76784282035663,4.015532855069081,140.12946937397103,6.763072683336982,686,852,0.522315963406765,0.2962918292396109,0.522315963406765,556
ISIC_0009993,143.74930228748906,20.78082718147194,151.79345189721104,5.261954855313398,159.86111268608292,4.200007477567241,479,540,0.8686284515507172,0.7630927406399426,0.8686284515507172,221
